product,uf,volume,unit,year_month,created_at
GASOLINA C ,MATO GROSSO,29287.437999999995,m3,2009-01-01,2023-10-14
GASOLINA C ,GOIÁS,73795.56300000001,m3,2009-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,64076.0,m3,2009-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,23634.94,m3,2010-01-01,2023-10-14
GASOLINA C ,ACRE,6012.5,m3,2010-01-01,2023-10-14
GASOLINA C ,AMAZONAS,32799.441,m3,2010-01-01,2023-10-14
GASOLINA C ,RORAIMA,85768.4,m3,2010-01-01,2023-10-14
GASOLINA C ,PARÁ,66977.72,m3,2010-01-01,2023-10-14
GASOLINA C ,AMAPÁ,8506.8,m3,2010-01-01,2023-10-14
GASOLINA C ,TOCANTINS,17667.289999999997,m3,2010-01-01,2023-10-14
GASOLINA C ,MARANHÃO,45609.600000000006,m3,2010-01-01,2023-10-14
GASOLINA C ,PIAUÍ,29498.75,m3,2010-01-01,2023-10-14
GASOLINA C ,CEARÁ,68996.897,m3,2010-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,32310.550000000003,m3,2010-01-01,2023-10-14
GASOLINA C ,PARAÍBA,35198.850000000006,m3,2010-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,72063.63799999999,m3,2010-01-01,2023-10-14
GASOLINA C ,ALAGOAS,22001.41,m3,2010-01-01,2023-10-14
GASOLINA C ,SERGIPE,18730.0,m3,2010-01-01,2023-10-14
GASOLINA C ,BAHIA,108191.36600000002,m3,2010-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,3677903.7559999996,m3,2010-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,66391.05,m3,2010-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,151231.798,m3,2010-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,598530.562,m3,2010-01-01,2023-10-14
GASOLINA C ,PARANÁ,152006.113,m3,2010-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,143637.69100000005,m3,2010-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,211339.15999999995,m3,2010-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,35423.81,m3,2010-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,31924.669999999995,m3,2010-01-01,2023-10-14
GASOLINA C ,GOIÁS,89270.17199999996,m3,2010-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,86663.368,m3,2010-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,22519.617,m3,2011-01-01,2023-10-14
GASOLINA C ,ACRE,7931.0,m3,2011-01-01,2023-10-14
GASOLINA C ,AMAZONAS,521355.09700000007,m3,2011-01-01,2023-10-14
GASOLINA C ,RORAIMA,8807.6,m3,2011-01-01,2023-10-14
GASOLINA C ,PARÁ,67818.87,m3,2011-01-01,2023-10-14
GASOLINA C ,AMAPÁ,9579.7,m3,2011-01-01,2023-10-14
GASOLINA C ,TOCANTINS,21280.65,m3,2011-01-01,2023-10-14
GASOLINA C ,MARANHÃO,55803.9,m3,2011-01-01,2023-10-14
GASOLINA C ,PIAUÍ,31479.5,m3,2011-01-01,2023-10-14
GASOLINA C ,CEARÁ,76624.377,m3,2011-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,38472.626,m3,2011-01-01,2023-10-14
GASOLINA C ,PARAÍBA,40603.52,m3,2011-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,90327.33,m3,2011-01-01,2023-10-14
GASOLINA C ,ALAGOAS,21272.22,m3,2011-01-01,2023-10-14
GASOLINA C ,SERGIPE,23575.508,m3,2011-01-01,2023-10-14
GASOLINA C ,BAHIA,1588825.6979999999,m3,2011-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,395913.76,m3,2011-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,59924.134,m3,2011-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,193202.776,m3,2011-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,824087.139,m3,2011-01-01,2023-10-14
GASOLINA C ,PARANÁ,202203.319,m3,2011-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,160081.945,m3,2011-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,223755.739,m3,2011-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,43673.6,m3,2011-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,46892.3,m3,2011-01-01,2023-10-14
GASOLINA C ,GOIÁS,121655.146,m3,2011-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,76108.8,m3,2011-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,26749.079,m3,2012-01-01,2023-10-14
GASOLINA C ,ACRE,118891.75,m3,2012-01-01,2023-10-14
GASOLINA C ,AMAZONAS,49760.043999999994,m3,2012-01-01,2023-10-14
GASOLINA C ,RORAIMA,8727.8,m3,2012-01-01,2023-10-14
GASOLINA C ,PARÁ,87037.24,m3,2012-01-01,2023-10-14
GASOLINA C ,AMAPÁ,11125.4,m3,2012-01-01,2023-10-14
GASOLINA C ,TOCANTINS,26502.99,m3,2012-01-01,2023-10-14
GASOLINA C ,MARANHÃO,63846.67,m3,2012-01-01,2023-10-14
GASOLINA C ,PIAUÍ,36563.61,m3,2012-01-01,2023-10-14
GASOLINA C ,CEARÁ,90826.0,m3,2012-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,43714.85,m3,2012-01-01,2023-10-14
GASOLINA C ,PARAÍBA,47622.5,m3,2012-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,97914.25,m3,2012-01-01,2023-10-14
GASOLINA C ,ALAGOAS,28949.5,m3,2012-01-01,2023-10-14
GASOLINA C ,SERGIPE,340092.125,m3,2012-01-01,2023-10-14
GASOLINA C ,BAHIA,179521.841,m3,2012-01-01,2023-10-14
